Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25°C) (uS/cm),Salinity (Sal),Temperature (°C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU) (CFU/100 ml),Fecal Coliforms (CFU) (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU) (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Free Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag)
La Angostura,BTP-090,03/08/2016,16:20,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tupiza,Unidad 5,"21° 30' 15.66""","65° 42' 21.84""",-21.5044,-65.7061,0.539,1,,,8.26,-89,1616,0.8,16.7,5.93,87,89.4,1431,1366,65,25,702.5,5,190,61.3,,107.76,105.26,88.3,8,107.76,105.63,88.9,8.1,1.29,0.86,3.98,0.01,3.7,2.9,18,21,12,60,44,,,2,0.1,1.5,0.05,0.5,12,1,5,1,2,1,0.05,0.1,0.05,,367,1322,1,1.5,52,12.5,12.5,27,1.5,0.5,6,0.5,,2601,1862,12.5,,0.001,0.006,0.0005,0.019,,,384.62,,,,8307.69,,,,34369.23,800,,
Cotagaita,BCO-070,03/08/2016,14:00,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Cotagaita,Unidad 4,"20° 49' 15.24""","65° 40' 1.98""",-20.8209,-65.6672,0.637,1,,,8.275,-91.2,1753,0.9,20.7,7.26,112.5,134,1908,1732,176,5,667.1,5,70,41.5,,105.47,97.34,76.4,8.7,106.61,98.82,76.9,9.5,0.21,0.09,0.67,0.01,1.79,2.9,2.5,1,1,18,3,,,2,0.1,1.5,0.1,0.5,0.1,231,30,1,12,4,0.2,0.1,0.05,,382,1129,1,5,537,45,12.5,163,15,0.5,8,0.5,,6946,1886,12.5,,0.001,0.0005,0.0005,0.019,,,857.95,,62.5,,4301.14,,,27.84,37295.45,1738.64,85.23,
Tumusla,BTU-080,03/08/2016,12:00,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 29' 13.26""","65° 37' 7.86""",-20.4869,-65.6189,0.487,3,,,8.4,-95.9,698,0.3,14.4,8,107.2,119,585,490,95,27,118.8,5,115,40.6,152,21.78,15.65,57.3,6.8,21.9,16.17,58.9,7.7,0.31,0.31,0.22,0.01,2.27,4.3,2.5,3,16,28,0,,,70,0.1,1.5,0.05,0.5,0.4,27,2,1,1,4,0.05,0.1,0.05,,134,654,1,1.5,244,12.5,31,43,5,0.5,5,0.5,,4647,955,12.5,,0.001,0.005,0.0005,0.019,,,452.63,,10.53,,3168.42,,326.32,,47505.26,2284.21,,
Tarapaya,BTA-050,02/08/2016,17:40,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.72""","65° 47' 36.84""",-19.4717,-65.7936,0.597,1,,,7.584,-49.8,1110,0.5,11.9,6.17,86.1,299,1055,732,323,29,264.9,2.5,105,79.1,263.2,82.53,14.29,85.5,24.7,84.83,14.44,85.5,25.7,3.74,0.15,13.87,0.01,1.91,5.7,54,77,28,14,0,,,180,0.1,3,0.1,0.5,1,1044,16,63,1241,22,4,0.6,0.05,,416,280,1,8,1625,12.5,368,10203,253,41,296,9,,23913,306,12.5,,0.001,0.005,0.0005,0.15,,,27746.13,839.94,715.17,9.29,80.5,114.55,944.27,21.67,72746.13,1798.76,,27.86
San Antonio - Potosí,BSA-030,02/08/2016,16:20,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,"19° 34' 41.76""","65° 48' 11.7""",-19.5781,-65.8031,0.469,0,,,7.73,-58.2,1290,0.6,13.6,4.67,69.3,471,1334,754,580,60,135,2.5,235,109.1,213.4,34.39,11.92,115.5,38.8,35.53,12.22,118.4,38.8,15.58,2.61,63.52,0.01,10.49,113.4,235,277,85,8100,7200,,,100,0.1,1.5,0.1,0.5,0.7,1393,13,25,2026,30,6,0.1,0.05,,472,340,1,6,1815,12.5,412,12140,287,39,283,6,,28789,376,12.5,,0.001,0.023,0.005,0.067,,,17437.93,421.03,443.1,,62.07,56.9,667.24,9.14,48822.41,727.59,,10.34
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,02/08/2016,11:50,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 7' 56.04""","65° 34' 18.78""",-19.1322,-65.5719,0.772,4,,,8.257,-87.6,1061,0.5,12.4,8.33,108.7,123,808,684,14,26,167,5,130,178.1,113.4,32.09,21.1,153.5,12,33.24,21.39,155.3,13,0.31,0.25,0.27,0.43,11.33,2.9,10,16,10,5,0,,,12,0.1,1.5,0.1,0.5,0.4,188,3,5,117,15,0.5,0.1,0.05,,182,696,1,3,528,12.5,45,1066,61,4,46,0.5,,6994,1394,12.5,,0.001,0.0005,0.0005,0.019,,,67785.71,2428.57,3285.71,,49857.14,250,2857.14,185.71,486571.43,24285.71,,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,02/08/2016,11:05,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,"19° 8' 10.02""","65° 34' 4.26""",-19.1361,-65.5678,0.871,0,,,8.414,-98.5,681,0.3,18.8,6.78,101.6,69,563,488,75,2,187.5,15,200,7.3,158,34.39,24.68,20.8,4.4,35.53,24.68,20.9,4.4,0.21,0.12,0.23,0.01,0.005,2.9,11,13,9,30,0,,,30,0.1,1.5,0.05,0.5,0.7,259,4,0.4,4,0.2,0.3,0.1,0.05,,185,149,1,3.1,406,12.5,45,163,2,2,4,0.5,,5573,139,12.5,,0.001,0.0005,0.0005,0.019,,,2120,,24,,,22.67,594.67,32,71840,1960,,
Potosí - Naciente río La Ribera,BNR-010,01/08/2016,17:00,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,"19° 36' 7.30""","65° 44' 4.50""",-19.602,-65.7346,,,,,6.93,-12.9,204,0,5,4.28,55.6,0.52,60,60,0.5,1,44.6,2.5,65,4.4,28,13.31,2.75,8.7,3,13.87,2.78,8.8,3.2,0.21,0.15,0.03,0.01,0.005,4.3,2.5,1,1,3,1,,,1,0.1,1.5,0.05,0.5,0.1,7,1,1,51,9,0.7,0.1,0.05,,65,158,1,1.5,11,12.5,12.5,60,9,0.5,1.5,0.5,,154,150,12.5,,0.001,0.0005,0.0005,,,,9000,,0,,,,,,89000,4000,,
Colavi - Canutillos,BC7-113,01/08/2016,13:50,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 17.7""","65° 33' 9.54""",-19.3216,-65.5527,0.578,0,,,7.271,-32.5,207,0,14.1,6.66,100.3,19.6,143,118,25,9,49.3,2.5,20,4.5,65,9,6.51,1.7,1.9,9,6.66,1.7,1.9,0.06,0.06,0.03,0.01,2.03,4.3,2.5,7,8,0,0,,,4,0.1,1.5,0.05,0.5,1,1737,8,2,218,0.2,2,3,0.05,,61,47,1,1.5,1869,12.5,150,506,2,2.5,3,0.5,,5452,47,12.5,,0.001,0.0005,0.0005,0.019,,,11520,44,72,,0,20,5920,,215640,5280,,
Puente Mendez,BPM-120,01/08/2016,10:00,August 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,"19° 21' 26.76""","65° 10' 23.64""",-19.3574,-65.1732,0.728,7,,,8.305,-90,1389,0.6,11.7,8.77,105.3,72.3,880,828,52,15,213.4,10,145,129.5,99,44.15,25.05,176.8,11.1,44.49,25.92,182.6,11.1,0.55,0.49,0.43,13.04,9.18,5.7,2.5,8,8,25,16,,,12,0.1,1.5,0.05,0.5,8,10,4,4,20,14,0.2,0.1,0.05,,213,593,1,1.5,146,12.5,49,355,26,1.3,31,0.5,,2807,1061,12.5,,0.001,0.0005,0.0005,0.019,,,6442.31,382.69,230.77,,9000,21.15,865.38,,49884.62,2615.38,,
Misión La Paz - SNIH,AML-170,18/05/2016,12:40,May 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Baja,"22° 22' 41.28""","62° 31' 6.9""",-22.3781,-62.5186,,,1372,184.6,7.93,-67.6,729,0.3,19.1,8.21,91,800,3548,574,2974,2,224,,100,97,130,57,20,63,5.1,,,,,,,0.06,0.06,8,,1,,,,,,,,0.1,1.5,0.05,1,4,32,2,1,2,2,0.05,2,0.05,,96,23,1,85,1335,72,72,281,40,0.5,73,0.5,,82847,148,12.5,,,,,,0.34,,93.81,22.83,12.78,,42.03,,24.21,27.24,27824.82,438.13,23.54,
Villamontes,BVI-150,17/05/2016,16:15,May 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 7,21 15 28.32,63 30 40.14,-21.2579,-63.5112,0.577,89,1622,195.1,7.964,-69.2,616,0.2,18.9,8.71,98.3,71.3,551,417,106,,161,15.1,77.3,83.3,119,36.3,17,50.9,3.09,37.2,17.8,54.3,3.62,,,,,,,4.95,29,,,,,,,0.1,1.5,0.05,0.5,2,4,1,1,2,2,0.05,1,0.05,,69,22,1,25,110,6,9,55,6,0.5,8,0.5,,5096,117,12.5,0.01,,0.01,,,,,500,46.32,37.74,,896.23,,84.91,216.98,47424.53,1000,56.6,
El Puente,BEP-100,16/05/2016,16:35,May 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 14' 21.8""","65° 12' 31.3""",-21.2392,-65.2087,0.349,3,715,161.5,8.497,-100.3,1399,0.7,20.3,7.04,104.2,40.3,1182,1138,44,,371,5,145,65.5,455.2,28.85,72.61,93.1,7.4,40.88,75.2,111.2,7.7,,,,,,,2.5,1,,,,,,,0.1,1.5,0.05,0.5,6,16,3,1,3,3,0.05,2,0.05,,252,194,1,23,50,6,55,69,6,0.5,20,0.5,,1942,967,12.5,,,0.008,,,,,1500,286.36,68.18,,17568.18,,1250,386.36,38409.09,772.73,68.18,
Palca Grande,BPG-110,16/05/2016,15:00,May 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 44' 32.1""","65° 14' 28.2""",-20.7422,-65.2412,0.473,4,818,,8.424,-95.3,1222,0.6,18.4,7.2,104.1,104,1112,1040,73,,441.2,5,130,42.9,442.5,41.68,81.88,86,8,52.9,85.96,94.7,8.6,,,,,,,2.5,3,,,,,,,0.1,1.5,0.05,0.5,5,44,3,1,3,6,0.05,2,0.05,,163,100,1,23,215,9,10,99,13,0.5,8,0.5,,4369,525,12.5,,,0.0005,,,,,1315.07,0,95.89,,5821.92,,136.99,246.58,57616.44,2342.47,82.19,
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,20/04/2016,12:15,April 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,,"19° 7' 58.2""","65° 34' 19.74""",-19.1328,-65.5722,1,0,1409,146.9,8.56,-96.2,709,0.3,22.3,6.18,100.1,,2266,538,1729,,346,,190,4.5,179.2,56.11,50,17.6,7.4,56.11,51.53,17.7,8.8,,,,,,,2.5,1,,,,,,,0.1,1.5,0.05,0.5,5,9,2,1,2,0.3,0.05,2,0.05,,144,12,1,61,1195,46,43,137,18,0.5,36,0.5,,56480,84,12.5,,,0.0005,,,,,78.08,16.54,10.24,,41.64,,24.87,32.39,32583,685.95,25.45,
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,20/04/2016,11:20,April 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,,"19° 7' 55.64""","65° 34' 17.70""",-19.1321,-65.5716,1.306,11,790,142.5,8.137,-70.6,1266,0.6,16.6,6.65,95.8,,9767,844,8923,,333.1,,160,184,174.8,96.19,22.56,117.9,11.1,97.79,23.39,123.6,12.7,,,,,,,10,42,,,,,,,0.1,59,0.2,12,4,357,3,2,66,15,0.05,2,0.05,,197,77,1,251,5222,192,1088,13193,1988,118,1900,84,,262542,700,12.5,,,0.0005,,,1.32,,1471.14,211.69,221.11,6.61,69.82,13.22,121.71,27.68,29400.99,545.22,21.18,9.41
Tarapaya,BTA-050,19/04/2016,16:15,April 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,19 28 19.74,65 47 39.96,-19.4722,-65.7944,,,801,71.3,6.875,-1.6,1249,0.6,15.9,3.36,51.3,1650,10750,725,10410,,538,12.7,64.8,66.9,524,171,13.1,26.5,59.9,912,270,286,172,,,,,,,41.1,1438,,,,,,,0.1,46,0.1,18,2,2734,20,3,4962,34,5,2,0.05,,2911,29,1,379,8842,367,2841,44561,2805,330,2868,83,,406334,499,12.5,0.01,,0.5,,,1.72,,3803.94,269.75,266.19,4.42,45.15,31.22,272.62,36.22,38753.41,586.74,33.33,7.97
Colavi - Canutillos,BC7-113,19/04/2016,12:35,April 2016,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,19 19 17.16,65 33 9.42,-19.3214,-65.5526,0.47,0,2.93,134.7,6.821,-1.6,341,0.1,15.1,6.48,99.8,126.7,375,198,105,,154,1.095,5.62,3.41,155,26.8,20.8,2.83,1.94,30.2,21.7,3.35,5.52,,,,,,,6.5,18,,,,,,,0.1,1.5,0.05,0.5,0.9,3765,25,35,1004,0.1,5,2,0.05,,425,5,1,13,4492,32,257,943,3,5,10,0.5,,8207,51,12.5,0.01,,0.5,,,,,,76.76,28.57,,438.1,0,2114.29,115.24,74114.29,6923.81,66.67,
